Main Category,Plant Name / Genus,Cultivar / Variety,Height,Width,Color / Characteristics,Bloom Time,Plant Spacing
Trees,River birch,Heritage,40–50 ft,30–40 ft,Exfoliating creamy salmon bark,,25–30 ft
Trees,Red maple,Red Sunset,45–50 ft,35–40 ft,"Red flowers, brilliant red fall foliage",Fall,25–30 ft
Trees,White oak,Straight species,50–80 ft,50–80 ft,"Inconspicuous blooms, red/wine fall color",Fall,30–40 ft
Trees,Red oak,Straight species,60–75 ft,45–50 ft,"Inconspicuous blooms, bright red fall foliage",Fall,30–40 ft
Trees,Tulip tree,Liriodendron tulipifera,70–90 ft,35–50 ft,Tulip-shaped yellow-green & orange flowers,Spring,35–40 ft
Trees,Eastern white pine,Stowe's Pillar,8–10 ft,2–3 ft,"Blue-green needles, columnar foliage",,3–4 ft
Trees,Spruce,Serbian spruce 'Nana',8–10 ft,8–10 ft,"Blue-green and silver needles, dwarf cone",,8–10 ft
Trees,Juniper,Green Columnar,15 ft,5 ft,,,5 ft
Trees,Juniper,Hollywood,15 ft,10 ft,,,
Trees,Juniper,pfitzeriana 'Aurea Improved',3 ft,4 ft,,,
Trees,Juniper,Bluepoint,12 ft,8 ft,,,
Trees,Juniper,Skyrocket,15-20 ft,2-3 ft,,,
Trees,Juniper,Moonglow,20 ft,8 ft,,,
Vines,Clematis,Virginiana,12–20 ft,1 ft,"Fragrant white starry flower clusters, feathery seed heads",Late Summer,4–6 ft
Vines,Grapes,Somerset Seedless,15–20 ft,1 ft,"Inconspicuous blooms, sweet strawberry-flavored red grapes",,8–10 ft
Vines,Grapes,Candice,15–20 ft,1 ft,"Inconspicuous blooms, sweet red seedless grapes",,8–10 ft
